Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,91.559998,91.639999,90.570000,91.309998,65.294609,2418347
2018-01-03,91.410004,92.230003,91.320000,91.580002,65.487694,2014077
2018-01-04,92.220001,93.809998,92.089996,93.550003,66.896408,2424483
2018-01-05,93.410004,94.849998,93.370003,94.849998,67.826019,2147921
2018-01-08,94.639999,95.180000,94.379997,95.010002,67.940437,1743044
2018-01-09,94.870003,95.410004,94.629997,94.699997,67.718758,1552643
2018-01-10,94.379997,94.540001,92.900002,93.279999,66.703331,2358809
2018-01-11,93.379997,94.110001,92.940002,93.980003,67.203903,3049311
2018-01-12,94.470001,95.099998,93.800003,94.870003,67.840324,2057586
2018-01-15,94.739998,94.750000,93.620003,94.110001,67.296852,1517805
2018-01-16,94.089996,95.000000,93.389999,93.900002,67.146690,2003713
2018-01-17,93.430000,94.730003,93.199997,93.580002,66.917862,2379163
2018-01-18,93.849998,96.860001,93.669998,96.150002,68.755638,3849495
2018-01-19,96.980003,98.800003,96.680000,97.669998,69.842567,5752102
2018-01-22,97.769997,98.070000,96.480003,97.160004,69.477867,2041674
2018-01-23,98.150002,98.430000,96.760002,97.269997,69.556534,2154363
2018-01-24,97.269997,97.769997,96.220001,96.220001,68.805687,2430027
2018-01-25,96.040001,96.610001,94.910004,95.349998,68.183563,2951628
2018-01-26,95.320000,95.550003,94.870003,95.290001,68.140671,1904554
2018-01-29,95.089996,95.419998,94.339996,95.169998,68.054848,1852352
2018-01-30,94.050003,95.279999,94.000000,94.699997,67.718758,2656528
2018-01-31,94.889999,95.320000,93.910004,94.320000,67.447014,2603476
2018-02-01,94.830002,95.269997,92.169998,92.599998,66.217072,3374767
2018-02-02,92.300003,92.370003,90.190002,90.389999,64.636726,3319599
2018-02-05,89.760002,90.650002,89.050003,89.940002,64.314949,2832460
2018-02-06,86.099998,89.599998,84.180000,88.480003,63.270916,6216382
2018-02-07,88.809998,90.000000,88.040001,89.290001,63.850136,3750195
2018-02-08,88.639999,88.849998,85.599998,86.339996,61.740620,3732881
2018-02-09,86.400002,86.930000,84.080002,84.830002,60.660847,4197137
2018-02-12,86.199997,87.129997,85.769997,86.089996,61.561855,3113686
2018-02-13,86.120003,86.570000,85.440002,85.620003,61.225765,2226801
2018-02-14,86.199997,86.809998,83.760002,86.300003,61.712025,3113274
2018-02-15,87.029999,87.739998,85.870003,86.440002,61.812138,2321280
2018-02-16,86.940002,87.389999,86.099998,86.739998,62.026653,2867326
2018-02-19,87.290001,87.309998,85.970001,86.250000,61.676270,1545847
2018-02-20,86.589996,87.680000,86.220001,87.480003,62.555832,2562926
2018-02-21,87.099998,87.660004,86.599998,87.489998,62.562977,1900503
2018-02-22,86.760002,88.620003,86.279999,88.110001,63.006336,2502378
2018-02-23,88.459999,88.500000,87.779999,88.070000,62.977730,2014611
2018-02-26,88.699997,89.269997,88.480003,88.860001,63.542641,2199082
2018-02-27,88.199997,88.500000,86.489998,86.980003,62.198277,3331896
2018-02-28,86.349998,87.169998,86.180000,86.410004,61.790688,2493950
2018-03-01,86.400002,86.519997,84.349998,84.970001,60.760967,3934490
2018-03-02,83.900002,84.150002,82.500000,82.820000,59.223522,3686532
2018-03-05,82.180000,84.260002,82.000000,84.160004,60.181740,3142585
2018-03-06,85.190002,85.440002,83.480003,83.480003,59.695488,2408844
2018-03-07,83.099998,85.019997,82.750000,84.650002,60.532131,2585546
2018-03-08,84.440002,85.500000,83.730003,85.320000,61.011230,2541612
2018-03-09,84.800003,85.300003,83.980003,84.989998,60.775261,2846611
2018-03-12,85.790001,85.820000,85.050003,85.459999,61.111351,1651316
2018-03-13,85.220001,85.889999,83.339996,83.889999,59.988663,2869515
2018-03-14,83.760002,84.059998,83.029999,83.300003,59.566761,2767451
2018-03-15,83.639999,84.300003,83.169998,84.029999,60.088776,2853654
2018-03-16,84.800003,84.800003,83.779999,84.739998,60.596481,7132536
2018-03-19,84.309998,84.430000,83.260002,83.599998,59.781292,2445243
2018-03-20,83.690002,84.480003,83.480003,84.430000,60.374817,1825617
2018-03-21,84.680000,85.139999,83.989998,84.779999,60.625092,1970661
2018-03-22,83.959999,84.440002,81.699997,82.510002,59.001839,3760357
2018-03-23,81.910004,82.150002,80.559998,81.070000,57.972115,3819396
2018-03-26,81.480003,82.220001,80.160004,80.830002,57.800503,2905603
2018-03-27,82.150002,82.879997,81.750000,82.500000,58.994686,2918069
2018-03-28,81.790001,81.919998,80.410004,81.220001,58.079376,3289246
2018-03-29,81.680000,82.860001,81.510002,82.470001,58.973240,3297454
2018-04-03,81.820000,82.389999,81.050003,81.889999,58.558483,2537547
2018-04-04,81.870003,82.080002,80.360001,82.010002,58.644295,3088886
2018-04-05,83.680000,84.599998,83.430000,84.400002,60.353371,3410957
2018-04-06,83.910004,84.279999,83.449997,83.989998,60.060165,2421543
2018-04-09,84.550003,84.849998,83.010002,83.529999,59.731228,2028826
2018-04-10,83.900002,84.480003,83.550003,84.040001,60.095928,1884678
2018-04-11,83.680000,83.949997,82.529999,82.980003,59.337936,2224445
2018-04-12,83.120003,84.410004,82.739998,83.949997,60.031567,2128218
2018-04-13,84.480003,84.910004,83.879997,84.120003,60.153137,1838018
2018-04-16,84.389999,84.660004,83.949997,84.190002,60.203186,1515741
2018-04-17,84.500000,85.730003,84.300003,85.320000,61.011230,2264874
2018-04-18,85.449997,86.260002,85.290001,86.010002,61.504654,2046284
2018-04-19,86.360001,86.389999,85.750000,86.070000,61.547554,1823285
2018-04-20,86.220001,86.879997,85.769997,86.690002,61.990913,3353880
2018-04-23,86.650002,87.080002,86.089996,87.050003,62.248348,1753764
2018-04-24,86.760002,87.500000,85.779999,86.400002,61.783527,2478654
