Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,9.090000,9.113000,8.998000,9.078000,7.050212,10660669
2018-01-03,9.078000,9.133000,8.981000,9.086000,7.056426,9891646
2018-01-04,9.120000,9.158000,9.032000,9.109000,7.074288,15445164
2018-01-05,9.130000,9.248000,9.094000,9.237000,7.173696,11986371
2018-01-08,9.306000,9.316000,9.186000,9.208000,7.151175,10324348
2018-01-09,9.247000,9.355000,9.016000,9.016000,7.002062,18708174
2018-01-10,8.999000,9.022000,8.862000,8.931000,6.936049,13978850
2018-01-11,8.961000,9.020000,8.856000,8.900000,6.911972,11321090
2018-01-12,8.929000,8.966000,8.847000,8.905000,6.915856,10460609
2018-01-15,8.937000,8.959000,8.858000,8.927000,6.932942,7570356
2018-01-16,8.930000,9.160000,8.897000,9.048000,7.026914,14713377
2018-01-17,9.036000,9.092000,8.897000,8.927000,6.932942,13379912
2018-01-18,8.870000,8.910000,8.784000,8.883000,6.898771,16014160
2018-01-19,8.880000,8.963000,8.855000,8.920000,6.927505,14308845
2018-01-22,8.930000,9.010000,8.881000,9.008000,6.995849,8037051
2018-01-23,9.091000,9.103000,8.960000,9.077000,7.049436,13753824
2018-01-24,9.100000,9.104000,8.804000,8.804000,6.837417,16904559
2018-01-25,8.800000,8.888000,8.615000,8.662000,6.727136,14474628
2018-01-26,8.701000,8.742000,8.595000,8.618000,6.692965,10226168
2018-01-29,8.620000,8.625000,8.500000,8.594000,6.674325,9893147
2018-01-30,8.550000,8.610000,8.506000,8.506000,6.605982,12097189
2018-01-31,8.551000,8.562000,8.411000,8.459000,6.569481,12075627
2018-02-01,8.517000,8.612000,8.332000,8.372000,6.501914,16528119
2018-02-02,8.360000,8.360000,8.197000,8.235000,6.395516,14600985
2018-02-05,8.197000,8.425000,8.138000,8.288000,6.436678,16223681
2018-02-06,8.061000,8.211000,8.051000,8.100000,6.290672,24651620
2018-02-07,8.180000,8.266000,8.109000,8.233000,6.393963,18588606
2018-02-08,8.166000,8.186000,8.020000,8.076000,6.272034,20641779
2018-02-09,8.037000,8.092000,7.901000,7.992000,6.206797,19614891
2018-02-12,8.058000,8.137000,7.984000,8.018000,6.226989,12647664
2018-02-13,8.009000,8.009000,7.877000,7.885000,6.123697,13463673
2018-02-14,7.960000,8.134000,7.898000,8.100000,6.290672,17604928
2018-02-15,8.160000,8.160000,7.933000,8.004000,6.216115,15379343
2018-02-16,8.070000,8.188000,8.052000,8.140000,6.321738,13588284
2018-02-19,8.189000,8.191000,8.075000,8.139000,6.320961,8521216
