Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,150.199997,150.199997,146.699997,149.300003,138.412964,108083
2018-01-03,150.000000,151.899994,149.800003,150.500000,139.525467,82524
2018-01-04,151.899994,154.199997,151.600006,153.100006,141.935883,131516
2018-01-05,153.500000,154.300003,152.100006,154.000000,142.770248,98093
2018-01-08,154.600006,154.899994,153.600006,154.500000,143.233780,73248
2018-01-09,154.500000,156.800003,154.500000,156.000000,144.624405,82476
2018-01-10,156.699997,156.699997,152.699997,154.899994,143.604584,145875
2018-01-11,155.300003,155.699997,153.800003,155.399994,144.068146,109512
2018-01-12,155.800003,156.100006,152.500000,153.100006,141.935883,142972
2018-01-15,152.899994,153.399994,150.500000,150.600006,139.618179,126457
2018-01-16,151.500000,152.300003,150.600006,151.899994,140.823349,167496
2018-01-17,151.899994,154.100006,151.500000,152.000000,140.916077,193431
2018-01-18,152.300003,153.300003,151.399994,151.899994,140.823349,89551
2018-01-19,152.300003,154.000000,152.300003,153.000000,141.843140,156059
2018-01-22,153.100006,153.300003,151.399994,151.600006,140.545242,85546
2018-01-23,152.199997,152.800003,150.899994,151.800003,140.730667,82000
2018-01-24,151.500000,153.000000,150.699997,150.699997,139.710892,120305
2018-01-25,150.699997,151.500000,145.500000,145.699997,135.075470,215364
2018-01-26,146.300003,146.500000,145.300003,146.000000,135.353607,168922
2018-01-29,146.000000,146.600006,144.899994,144.899994,134.333817,115882
2018-01-30,144.899994,145.600006,142.800003,143.199997,132.757782,183149
2018-01-31,143.100006,145.300003,142.800003,144.300003,133.777573,161267
2018-02-01,142.899994,145.199997,140.500000,141.600006,131.274445,273642
2018-02-02,141.500000,142.000000,139.100006,139.100006,128.956741,137947
2018-02-05,137.300003,138.800003,135.800003,137.600006,127.566139,200598
2018-02-06,131.500000,140.100006,131.000000,137.500000,127.473442,336678
2018-02-07,139.000000,142.800003,137.199997,141.800003,131.459854,243463
2018-02-08,142.000000,142.500000,137.300003,137.699997,127.658852,204782
2018-02-09,137.300003,138.300003,135.800003,136.699997,126.731750,185220
2018-02-12,136.800003,136.800003,132.800003,133.699997,123.950508,266540
2018-02-13,133.899994,135.300003,133.199997,133.600006,123.857811,154474
2018-02-14,134.899994,135.100006,130.199997,133.600006,123.857811,192440
2018-02-15,134.699997,139.399994,134.699997,138.300003,128.215088,245031
2018-02-16,138.899994,141.500000,138.500000,141.100006,130.810913,188051
2018-02-19,142.300003,142.600006,140.000000,140.500000,130.254669,120430
2018-02-20,140.199997,142.000000,140.199997,141.500000,131.181763,147508
2018-02-21,140.100006,140.600006,132.699997,137.300003,127.288002,345363
2018-02-22,136.800003,138.899994,136.699997,138.199997,128.122375,207961
2018-02-23,138.899994,138.899994,137.500000,138.000000,127.936958,153915
2018-02-26,138.300003,138.300003,137.199997,137.500000,127.473442,125738
2018-02-27,137.399994,138.699997,136.100006,137.600006,127.566139,140193
2018-02-28,138.300003,138.600006,137.000000,137.600006,127.566139,180492
2018-03-01,137.600006,137.800003,134.699997,134.800003,124.970322,174675
2018-03-02,133.699997,133.699997,130.300003,130.300003,120.798454,209612
2018-03-05,129.800003,132.300003,129.199997,131.500000,121.910950,131127
2018-03-06,137.199997,138.000000,134.100006,134.399994,124.599464,184062
2018-03-07,134.300003,135.000000,132.399994,134.300003,124.506760,137302
2018-03-08,134.399994,138.800003,134.399994,138.500000,128.400513,113389
