Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,25.879999,26.010000,25.540001,25.930000,25.930000,414356
2018-01-03,26.090000,26.510000,26.020000,26.510000,26.510000,481360
2018-01-04,26.690001,27.200001,26.610001,26.840000,26.840000,458189
2018-01-05,26.889999,27.280001,26.889999,27.190001,27.190001,500301
2018-01-08,27.180000,27.270000,26.500000,26.610001,26.610001,449905
2018-01-09,26.570000,27.110001,26.549999,27.030001,27.030001,584538
2018-01-10,27.010000,27.040001,26.320000,26.600000,26.600000,381932
2018-01-11,26.600000,26.790001,26.410000,26.530001,26.530001,371033
2018-01-12,26.590000,26.900000,26.350000,26.830000,26.830000,473041
2018-01-15,26.770000,26.870001,26.590000,26.650000,26.650000,203328
2018-01-16,26.760000,27.040001,26.620001,26.900000,26.900000,426069
2018-01-17,26.780001,26.830000,26.430000,26.750000,26.750000,522224
2018-01-18,26.959999,27.020000,26.590000,26.770000,26.770000,365622
2018-01-19,26.750000,27.139999,26.670000,26.790001,26.790001,324191
2018-01-22,26.850000,27.070000,26.700001,26.900000,26.900000,285456
2018-01-23,27.070000,27.410000,26.930000,27.340000,27.340000,396341
2018-01-24,27.350000,27.480000,26.860001,26.870001,26.870001,360163
2018-01-25,26.930000,27.139999,26.860001,26.910000,26.910000,547773
2018-01-26,27.230000,27.700001,27.170000,27.660000,27.660000,469069
2018-01-29,27.799999,28.150000,27.600000,27.850000,27.850000,733874
2018-01-30,27.559999,27.680000,26.950001,27.120001,27.120001,568655
2018-01-31,27.209999,27.230000,26.870001,26.940001,26.940001,536332
2018-02-01,27.200001,28.330000,26.840000,26.870001,26.870001,1331034
2018-02-02,27.000000,27.270000,26.790001,27.000000,27.000000,738202
2018-02-05,26.750000,27.100000,26.580000,26.870001,26.870001,603073
2018-02-06,26.010000,26.520000,25.850000,25.900000,25.900000,919007
2018-02-07,26.110001,26.639999,25.840000,26.600000,26.600000,835074
2018-02-08,26.549999,26.570000,25.830000,25.910000,25.910000,483329
2018-02-09,25.750000,26.010000,25.540001,25.850000,25.850000,758675
2018-02-12,26.280001,26.400000,25.680000,25.799999,25.799999,654950
2018-02-13,25.799999,25.830000,25.420000,25.700001,25.700001,458170
2018-02-14,25.860001,26.389999,25.719999,26.320000,26.320000,647510
2018-02-15,26.490000,26.950001,26.200001,26.950001,26.950001,676930
2018-02-16,27.049999,27.530001,27.049999,27.459999,27.459999,518145
2018-02-19,27.549999,27.650000,27.020000,27.090000,27.090000,289469
2018-02-20,27.209999,27.730000,27.200001,27.660000,27.660000,451564
2018-02-21,27.610001,27.719999,27.270000,27.690001,27.690001,325581
2018-02-22,27.730000,27.730000,27.330000,27.520000,27.520000,473817
2018-02-23,27.410000,27.410000,26.930000,27.250000,27.250000,559466
2018-02-26,27.500000,27.719999,27.440001,27.549999,27.549999,326122
2018-02-27,27.660000,27.770000,27.450001,27.700001,27.700001,366306
2018-02-28,27.590000,27.799999,27.480000,27.700001,27.700001,642452
2018-03-01,27.520000,27.600000,26.730000,26.750000,26.750000,542351
2018-03-02,26.510000,26.600000,26.180000,26.320000,26.320000,477293
2018-03-05,26.240000,26.889999,26.240000,26.879999,26.879999,479611
2018-03-06,27.090000,27.520000,27.049999,27.120001,27.120001,401025
2018-03-07,27.010000,27.540001,26.530001,27.400000,27.400000,612572
2018-03-08,27.459999,27.860001,27.330000,27.799999,27.799999,476292
2018-03-09,27.940001,28.190001,27.580000,27.969999,27.969999,577876
2018-03-12,28.180000,28.180000,27.910000,27.969999,27.969999,390367
2018-03-13,27.879999,28.030001,27.320000,27.410000,27.410000,441536
2018-03-14,27.520000,27.580000,27.180000,27.209999,27.209999,555509
2018-03-15,27.350000,27.440001,27.030001,27.360001,27.360001,447752
2018-03-16,27.490000,27.840000,27.309999,27.750000,27.750000,1007422
2018-03-19,27.740000,27.940001,27.330000,27.360001,27.360001,471969
2018-03-20,27.350000,27.670000,27.219999,27.480000,27.480000,652975
2018-03-21,27.559999,27.639999,27.350000,27.500000,27.500000,320755
2018-03-22,27.150000,27.190001,26.629999,26.870001,26.870001,618901
2018-03-23,26.709999,26.709999,26.200001,26.440001,26.440001,505754
2018-03-26,26.490000,26.860001,25.910000,26.010000,26.010000,457332
2018-03-27,26.410000,26.709999,26.400000,26.510000,26.510000,393768
2018-03-28,26.160000,26.410000,25.990000,26.309999,26.309999,527718
2018-03-29,26.320000,26.430000,25.990000,26.250000,26.250000,644336
2018-04-03,25.850000,25.990000,25.540001,25.709999,25.709999,530592
2018-04-04,25.709999,25.709999,25.219999,25.469999,25.469999,636759
2018-04-05,25.940001,26.299999,25.850000,26.260000,26.260000,472828
